xiangya	NA	2015年1月1日至今（且只保留有图片的）	主关键词单独搜索，就不是很多，所以不需要附加词
xiang牙	NA	2015年1月1日至今（且只保留有图片的）	主关键词单独搜索，就不是很多，所以不需要附加词
象牙	文玩/灵芯/芯料/血料/血牙/果冻/满纹/非料/根付/面包圈	2015年1月1日至今（且只保留有图片的）	主关键词单独搜索结果过多，不聚焦，因此需要附加词
XY	文玩/灵芯/芯料/血料/血牙/果冻/满纹/非料/根付/面包圈	2015年1月1日至今（且只保留有图片的）	主关键词单独搜索结果过多，词义模糊且不聚焦，因此需要附加词
X牙	文玩/灵芯/芯料/血料/血牙/果冻/满纹/非料/根付/面包圈	2015年1月1日至今（且只保留有图片的）	主关键词单独搜索结果过多，词义模糊且不聚焦，因此需要附加词
老牙	文玩/灵芯/芯料/血料/血牙/果冻/满纹/非料/根付/面包圈	2015年1月1日至今（且只保留有图片的）	主关键词单独搜索结果过多，词义模糊且不聚焦，因此需要附加词
相牙	文玩/灵芯/芯料/血料/血牙/果冻/非料/根付/面包圈	2015年1月1日至今（且只保留有图片的）	主关键词单独搜索结果过多，词义模糊且不聚焦，因此需要附加词
像牙	文玩/灵芯/芯料/血料/血牙/果冻/满纹/非料/根付/面包圈	2015年1月1日至今（且只保留有图片的）	主关键词单独搜索结果过多，词义模糊且不聚焦，因此需要附加词
牙雕	文玩/灵芯/芯料/血料/血牙/果冻/满纹/根付	2015年1月1日至今（且只保留有图片的）	主关键词单独搜索结果过多，不聚焦，因此需要附加词
牙尖	文玩/芯料/血料/血牙/果冻/满纹	2015年1月1日至今（且只保留有图片的）	主关键词单独搜索结果过多，不聚焦，因此需要附加词
牙牌	文玩/芯料/血料/血牙/果冻/满纹	2015年1月1日至今（且只保留有图片的）	主关键词单独搜索结果过多，不聚焦，因此需要附加词
牙章	文玩/血牙/果冻	2015年1月1日至今（且只保留有图片的）	主关键词单独搜索结果过多，不聚焦，因此需要附加词
象ya	NA	2015年1月1日至今（且只保留有图片的）	主关键词单独搜索，就不是很多，所以不需要附加词
牙圈	文玩/灵芯/芯料/血料/血牙/果冻/非料/根付/面包圈	2015年1月1日至今（且只保留有图片的）	主关键词单独搜索结果过多，词义模糊不聚焦，因此需要附加词
灵芯	文玩/芯料/血料/果冻/满纹	2015年1月1日至今（且只保留有图片的）	主关键词单独搜索结果过多，词义模糊不聚焦，因此需要附加词
芯料	文玩/血料/血牙/果冻/满纹/非料/根付/面包圈	2015年1月1日至今（且只保留有图片的）	主关键词单独搜索结果过多，词义模糊不聚焦，因此需要附加词
血料	文玩/灵芯/芯料/血料/血牙/果冻/满纹/非料/根付/面包圈	2015年1月1日至今（且只保留有图片的）	主关键词单独搜索结果过多，词义模糊不聚焦，因此需要附加词
血牙	文玩/芯料/血料/果冻/满纹/面包圈	2015年1月1日至今（且只保留有图片的）	主关键词单独搜索结果过多，词义模糊不聚焦，因此需要附加词
非料	NA	2015年1月1日至今（且只保留有图片的）	主关键词单独搜索，就不是很多，所以不需要附加词
根付	芯料/果冻/满纹	2015年1月1日至今（且只保留有图片的）	主关键词单独搜索结果过多，词义模糊不聚焦，因此需要附加词
面包圈	文玩/芯料/血料/血牙/果冻/满纹/非料	2015年1月1日至今（且只保留有图片的）	主关键词单独搜索结果过多，词义模糊不聚焦，因此需要附加词
满纹	文玩/灵芯/芯料/血料/血牙/果冻/非料/根付/面包圈	2015年1月1日至今（且只保留有图片的）	主关键词单独搜索结果过多，词义模糊不聚焦，因此需要附加词
果冻	文玩/灵芯/芯料/血料/血牙/满纹/非料/根付/面包圈	2015年1月1日至今（且只保留有图片的）	主关键词单独搜索结果过多，词义模糊不聚焦，因此需要附加词

