bid	comments_count	created_at	reposts_count	text	uid	url	user_followers_count
4301465898383413	0	11-01	0	"Chigga in Mountain XiangYa <a data-url=""http://t.cn/EwGfgA2"" href=""https://m.weibo.cn/p/index?containerid=2304444301465871709653&url_type=39&object_type=video&pos=1&luicode=10000011&lfid=100103type%3D1%26q%3Dxiangya&featurecode=20000320"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_video_default.png'></span><span class=""surl-text"">这般田地的微博视频</span></a> "	1899028451	https://m.weibo.cn/status/H0C8lzaUl?mblogid=H0C8lzaUl&luicode=10000011&lfid=100103type%3D1%26q%3Dxiangya&featurecode=20000320	776
4300553410028749	0	10-29	0	"Xiangya show！ <a data-url=""http://t.cn/EZeU6oi"" href=""https://m.weibo.cn/p/index?containerid=2304444300553371479073&url_type=39&object_type=video&pos=1&luicode=10000011&lfid=100103type%3D1%26q%3Dxiangya&featurecode=20000320"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_video_default.png'></span><span class=""surl-text"">竹马啊啊的微博视频</span></a> "	6178810468	https://m.weibo.cn/status/H0eoB07tH?mblogid=H0eoB07tH&luicode=10000011&lfid=100103type%3D1%26q%3Dxiangya&featurecode=20000320	21
4289917250920073	3	09-30	0	以前觉得象牙管我什么事平时又见不到，直到去了非洲工作，发现回国的中国人竟然基本都要带一两件象牙制品，卖象牙的黑人中文“xiangya”的发音是必会的，才震惊的发现国人竟是象牙的最大买家之一，身边的同事谈象牙就和买一种普通商品无异，质问他们，结果基本都回答，大家都在买啊我不买也没用啊。。	1868765810	https://m.weibo.cn/status/GBJ9P3RlT?mblogid=GBJ9P3RlT&luicode=10000011&lfid=100103type%3D1%26q%3Dxiangya&featurecode=20000320	301
4288664898640461	0	09-27	0	"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E7%B2%98%E5%9C%9F%E8%8A%B1%E8%89%BA%23&isnewpage=1&luicode=10000011&lfid=100103type%3D1%26q%3Dxiangya&featurecode=20000320"" data-hide=""""><span class=""surl-text"">#粘土花艺#</span></a> <br />粘土永生花<br />制作&amp;分享：xiangya同学 <a data-url=""http://t.cn/RFpfFCe"" href=""https://m.weibo.cn/p/index?title=%E5%95%86%E5%9C%88&containerid=1001018008642280200000000&luicode=10000011&lfid=100103type%3D1%26q%3Dxiangya&featurecode=20000320"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_location_default.png'></span><span class=""surl-text"">利川市</span></a> <a data-url=""http://t.cn/EPNNyEv"" href=""https://m.weibo.cn/p/index?containerid=2304444288664881280494&url_type=39&object_type=video&pos=1&luicode=10000011&lfid=100103type%3D1%26q%3Dxiangya&featurecode=20000320"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_video_default.png'></span><span class=""surl-text"">xiangya同学的秒拍视频</span></a> "	3170681463	https://m.weibo.cn/status/GBczTAfMh?mblogid=GBczTAfMh&luicode=10000011&lfid=100103type%3D1%26q%3Dxiangya&featurecode=20000320	1385
4268929889562237	1	08-03	0	"Hello,CSU.<span class=""url-icon""><img alt=[握手] src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_woshou-9ec25c8391.png"" style=""width:1em; height:1em;"" /></span><a href='/n/中南大学'>@中南大学</a>  <br />Hello,Xiangya college of stomatology.<span class=""url-icon""><img alt=[握手] src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_woshou-9ec25c8391.png"" style=""width:1em; height:1em;"" /></span> "	5995191066	https://m.weibo.cn/status/GsVbeE7zD?mblogid=GsVbeE7zD&luicode=10000011&lfid=100103type%3D1%26q%3Dxiangya&featurecode=20000320	63
4255324212693714	0	06-27	0	我天 我们xiangya人这么刺激的么 	2609324903	https://m.weibo.cn/status/GndeBbiL0?mblogid=GndeBbiL0&luicode=10000011&lfid=100103type%3D1%26q%3Dxiangya&featurecode=20000320	273
4247858406274809	0	06-06	0	"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E6%89%93%E5%8D%A1%E7%AC%AC34%E5%A4%A9%23&isnewpage=1&luicode=10000011&lfid=100103type%3D1%26q%3Dxiangya&featurecode=20000320"" data-hide=""""><span class=""surl-text"">#打卡第34天#</span></a> 昨天忘了打卡，今天补上<span class=""url-icon""><img alt=[笑cry] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_xiaoku-7430606cb7.png"" style=""width:1em; height:1em;"" /></span>只做了40min有氧，15min拉伸，为了执业医考试，锻炼的时候都在看视频，为了留个印象好方便背，还剩3天了，加油，xiangya 的女人绝不认输，我最近常挂在嘴边的话[加油] <a data-url=""http://t.cn/R2WJwIK"" href=""https://m.weibo.cn/p/index?title=%E5%95%86%E5%9C%88&containerid=1001018008643010400000006&luicode=10000011&lfid=100103type%3D1%26q%3Dxiangya&featurecode=20000320"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_location_default.png'></span><span class=""surl-text"">长沙 · 桐梓坡</span></a> "	1053198171	https://m.weibo.cn/status/Gk50YqkmB?mblogid=Gk50YqkmB&luicode=10000011&lfid=100103type%3D1%26q%3Dxiangya&featurecode=20000320	18
4245681768679573	0	05-31	0	"xiangya 3rd hospital 的 department of internal neurology is sb<span class=""url-icon""><img alt=[微笑] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em; height:1em;"" /></span><br />I can't stand it any more. "	5138375037	https://m.weibo.cn/status/GjaogApX7?mblogid=GjaogApX7&luicode=10000011&lfid=100103type%3D1%26q%3Dxiangya&featurecode=20000320	51
4227594721715285	0	04-11	0	"V：xiangya00互粉下吧<span class=""url-icon""><img alt=[给力] src=""//h5.sinaimg.cn/m/emoticon/icon/others/f_geili-244fca3c70.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[鼓掌] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_guzhang-4ac2b70b8f.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[给力] src=""//h5.sinaimg.cn/m/emoticon/icon/others/f_geili-244fca3c70.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[鼓掌] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_guzhang-4ac2b70b8f.png"" style=""width:1em; height:1em;"" /></span> "	1864433473	https://m.weibo.cn/status/GbzRC7cdT?mblogid=GbzRC7cdT&luicode=10000011&lfid=100103type%3D1%26q%3Dxiangya&featurecode=20000320	179
4175945553761901	6	2017-11-19	0	听着xiangya的种种，觉得自己当年为什么想不开，后悔当初的同时，仔细想想，如果当年我留在xiangya，那我就是在临床专业，估计也可能会后悔……总归后悔是没有用的，还是得往前走嘛…… 	2710937041	https://m.weibo.cn/status/FvRGPfMDP?mblogid=FvRGPfMDP&luicode=10000011&lfid=100103type%3D1%26q%3Dxiangya&featurecode=20000320	712
